timestamp,demand_kw
2024-01-04 17:00:00,540.7
2024-01-04 18:00:00,575.0
2024-01-04 19:00:00,591.6
2024-01-04 20:00:00,583.8
2024-01-04 21:00:00,565.2
2024-01-04 22:00:00,500.8
2024-01-04 23:00:00,323.7
2024-01-05 00:00:00,184.2
2024-01-05 01:00:00,171.3
2024-01-05 02:00:00,164.7
2024-01-05 03:00:00,159.3
2024-01-05 04:00:00,157.9
2024-01-05 05:00:00,162.2
2024-01-05 06:00:00,197.9
2024-01-05 07:00:00,316.3
2024-01-05 08:00:00,449.5
2024-01-05 09:00:00,516.7
2024-01-05 10:00:00,552.3
2024-01-05 11:00:00,565.9
2024-01-05 12:00:00,562.4
2024-01-05 13:00:00,546.1
2024-01-05 14:00:00,539.6
2024-01-05 15:00:00,532.7
2024-01-05 16:00:00,526.1
2024-01-05 17:00:00,542.4
2024-01-05 18:00:00,576.7
2024-01-05 19:00:00,593.3
2024-01-05 20:00:00,585.5
2024-01-05 21:00:00,567.0
2024-01-05 22:00:00,502.2
2024-01-05 23:00:00,325.1
2024-01-06 00:00:00,183.0
2024-01-06 01:00:00,170.1
2024-01-06 02:00:00,163.4
2024-01-06 03:00:00,158.0
2024-01-06 04:00:00,156.6
2024-01-06 05:00:00,160.9
2024-01-06 06:00:00,196.4
2024-01-06 07:00:00,147.2
2024-01-06 08:00:00,150.9
2024-01-06 09:00:00,164.3
2024-01-06 10:00:00,177.8
2024-01-06 11:00:00,181.2
2024-01-06 12:00:00,178.7
2024-01-06 13:00:00,174.1
2024-01-06 14:00:00,171.5
2024-01-06 15:00:00,168.3
2024-01-06 16:00:00,166.7
2024-01-06 17:00:00,170.2
2024-01-06 18:00:00,197.3
2024-01-06 19:00:00,209.6
2024-01-06 20:00:00,203.4
2024-01-06 21:00:00,191.2
2024-01-06 22:00:00,177.0
2024-01-06 23:00:00,194.5
2024-01-07 00:00:00,181.5
2024-01-07 01:00:00,168.9
2024-01-07 02:00:00,162.2
2024-01-07 03:00:00,156.8
2024-01-07 04:00:00,155.4
2024-01-07 05:00:00,159.7
2024-01-07 06:00:00,194.8
2024-01-07 07:00:00,145.9
2024-01-07 08:00:00,149.6
2024-01-07 09:00:00,163.0
2024-01-07 10:00:00,176.5
2024-01-07 11:00:00,179.9
2024-01-07 12:00:00,177.4
2024-01-07 13:00:00,172.8
2024-01-07 14:00:00,170.2
2024-01-07 15:00:00,167.0
2024-01-07 16:00:00,165.4
2024-01-07 17:00:00,168.9
2024-01-07 18:00:00,196.0
2024-01-07 19:00:00,208.3
2024-01-07 20:00:00,202.1
2024-01-07 21:00:00,190.0
2024-01-07 22:00:00,175.8
2024-01-07 23:00:00,193.2
